fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
8.3;0.27;0.45;1.3;0.048;8.0;72.0;0.9944;3.08;0.61;10.3;4
8.2;0.26;0.44;1.3;0.046;7.0;69.0;0.9944;3.14;0.62;10.2;4
9.2;0.19;0.42;2.0;0.047;16.0;104.0;0.99517;3.09;0.66;10.0;4
9.4;0.29;0.55;2.2;0.05;17.0;119.0;0.9962;3.12;0.69;10.3;4
8.4;0.19;0.42;1.6;0.047;9.0;101.0;0.994;3.06;0.65;11.1;4
8.7;0.3;0.59;1.7;0.046;10.0;70.0;0.99373;3.06;0.56;10.8;4
9.2;0.16;0.49;2.0;0.044;18.0;107.0;0.99514;3.1;0.53;10.2;4
9.2;0.22;0.4;2.4;0.054;18.0;151.0;0.9952;3.04;0.46;9.3;4
9.3;0.2;0.33;1.7;0.05;28.0;178.0;0.9954;3.16;0.43;9.0;4
8.6;0.34;0.36;1.4;0.045;11.0;119.0;0.99556;3.17;0.47;9.4;4
8.6;0.34;0.36;1.4;0.045;11.0;119.0;0.99556;3.17;0.47;9.4;4
7.5;0.32;0.24;4.6;0.053;8.0;134.0;0.9958;3.14;0.5;9.1;4
7.6;0.31;0.23;12.7;0.054;20.0;139.0;0.99836;3.16;0.5;9.7;4
7.6;0.31;0.23;12.7;0.054;20.0;139.0;0.99836;3.16;0.5;9.7;4
7.5;0.29;0.26;14.95;0.067;47.0;178.0;0.99838;3.04;0.49;9.2;4
7.6;0.23;0.26;15.3;0.067;32.0;166.0;0.9986;3.03;0.44;9.2;4
8.5;0.26;0.21;16.2;0.074;41.0;197.0;0.998;3.02;0.5;9.8;4
6.4;0.34;0.2;14.9;0.06;37.0;162.0;0.9983;3.13;0.45;9.0;4
6.4;0.34;0.2;14.9;0.06;37.0;162.0;0.9983;3.13;0.45;9.0;4
6.1;0.28;0.25;12.9;0.054;34.0;189.0;0.9979;3.25;0.43;9.0;4
6.6;0.31;0.37;6.2;0.052;13.0;164.0;0.99602;3.24;0.39;8.8;4
6.5;0.27;0.19;4.2;0.046;6.0;114.0;0.9955;3.25;0.35;8.6;4
6.9;0.32;0.16;1.4;0.051;15.0;96.0;0.994;3.22;0.38;9.5;4
8.0;0.32;0.26;1.2;0.05;11.5;88.0;0.9946;3.24;0.37;9.5;4
7.6;0.26;0.36;1.6;0.032;6.0;106.0;0.993;3.15;0.4;10.4;4
8.0;0.16;0.36;1.5;0.033;14.0;122.0;0.9941;3.2;0.39;10.3;4
7.3;0.28;0.42;1.2;0.033;29.0;142.0;0.99205;3.17;0.43;10.7;4
7.1;0.24;0.34;1.2;0.045;6.0;132.0;0.99132;3.16;0.46;11.2;4
7.6;0.21;0.35;1.2;0.041;7.0;106.0;0.9914;3.06;0.45;11.3;4
6.7;0.22;0.22;1.2;0.038;5.0;124.0;0.99098;3.1;0.37;11.2;4
6.8;0.2;0.27;1.2;0.034;19.0;68.0;0.9902;3.14;0.37;11.7;4
7.9;0.28;0.32;3.6;0.038;9.0;76.0;0.992;3.05;0.31;11.7;4
7.5;0.34;0.24;3.85;0.031;5.0;34.0;0.99098;3.01;0.36;11.8;4
8.4;0.29;0.29;1.05;0.032;4.0;55.0;0.9908;2.91;0.32;11.4;4
7.1;0.27;0.28;1.25;0.023;3.0;89.0;0.98993;2.95;0.3;11.4;4
6.3;0.28;0.22;9.5;0.04;30.0;111.0;0.99338;3.05;0.31;10.8;4
6.3;0.39;0.24;6.9;0.069;9.0;117.0;0.9942;3.15;0.35;10.2;4
6.6;0.35;0.19;10.5;0.06;15.0;82.0;0.99588;3.13;0.38;9.9;4
6.1;0.38;0.14;3.9;0.06;27.0;113.0;0.99344;3.07;0.34;9.2;4
6.1;0.38;0.14;3.9;0.06;27.0;113.0;0.99344;3.07;0.34;9.2;4
7.0;0.39;0.24;1.0;0.048;8.0;119.0;0.9923;3.0;0.31;10.1;4
6.8;0.32;0.34;1.2;0.044;14.0;67.0;0.9919;3.05;0.47;10.6;4
7.6;0.48;0.37;1.2;0.034;5.0;57.0;0.99256;3.05;0.54;10.4;4
7.3;0.38;0.23;6.5;0.05;18.0;102.0;0.99304;3.1;0.55;11.2;4
8.7;0.31;0.21;5.6;0.039;28.0;67.0;0.99328;2.96;0.52;11.0;4
7.4;0.28;0.4;11.9;0.032;13.0;92.0;0.99629;3.01;0.46;10.8;4
